product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
red-printed-viscose-blended-midi-dress-2,Komal Kapoor,"Kochi, India",5,Bahut sundar,Loved it the moment I opened the parcel. The dress flows beautifully and is so comfortable. Delivery was quick too.,IN,3/15/2026,yes,yes,yes
teal-printed-viscose-blended-midi-dress-2,Rhea Rao,"Coimbatore, India",3,Decent,"Had mixed feelings about this. Fabric was okay, I expected slightly better. Okay for the price.",IN,4/7/2026,yes,no,yes
sky-blue-embroidered-cotton-blended-midi-dress,Meera Mehta,"Nashik, India",5,Worth every rupee,"Worth every single rupee. Lovely fabric, twirls so well and feels premium. Highly recommend to everyone!",IN,6/6/2026,yes,no,yes
purple-embroidered-cotton-blended-midi-dress,Sanya Menon,"Chandigarh, India",5,Premium quality,"So so happy with this one. Lovely fabric, twirls so well and feels premium. Repeat customer for sure.",IN,5/28/2026,yes,no,yes
teal-blue-embroidered-cotton-co-ord-set,Sanya Goel,"Bhopal, India",4,Happy with it,"Really pretty piece. Nice set, the pants were slightly loose but manageable. Recommend it.",IN,4/25/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress,Manav Kulkarni,"Raipur, India",5,Beautiful piece,Such a beautiful piece. Perfect length and the print is vibrant. Delivery was quick too.,IN,2/1/2026,yes,no,yes
white-embroidered-viscose-silk-blended-co-ord-set,Vaishnavi Chopra,"Patna, India",5,Gorgeous!,"Genuinely impressed. Such a comfy co-ord, perfect for brunch and travel. Lovely Lady never disappoints.",IN,4/20/2026,yes,no,yes
sky-blue-embroidered-cotton-co-ord-set,Garima Bajaj,"Bhopal, India",5,Best purchase,"This is now my favourite. Such a comfy co-ord, perfect for brunch and travel. Adding more to my cart soon.",IN,4/15/2026,yes,no,yes
teal-printed-viscose-blended-midi-dress-2,Isha Chawla,"Lucknow, India",5,Premium quality,Worth every single rupee. The dress flows beautifully and is so comfortable. Packaging was lovely.,IN,4/21/2026,yes,yes,yes
beige-solid-linen-blended-co-ord-set,Snigdha Shetty,"Dehradun, India",5,Stunning in person,Such a beautiful piece. The colour is gorgeous in person and the fit is spot on. Delivery was quick too.,IN,5/21/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set-4,Ananya Chawla,"Bengaluru, India",5,Highly recommend,Absolutely in love with this! The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,1/13/2026,no,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-3,Megha Bajaj,"Thane, India",5,Exceeded expectations,So so happy with this one. The colour and the work look so elegant in person. Delivery was quick too.,IN,1/20/2026,yes,no,yes
pink-solid-viscose-blended-korean-style-co-ord-set-2,Trisha Malhotra,"Delhi, India",4,Nice for the price,Really pretty piece. Both pieces fit well and the fabric is comfy. Recommend it.,IN,1/12/2026,yes,no,yes
forest-green-printed-viscose-blended-midi-dress,Neha Iyer,"Nagpur, India",5,Worth every rupee,Genuinely impressed. The dress flows beautifully and is so comfortable. Packaging was lovely.,IN,3/27/2026,yes,no,yes
pink-solid-viscose-blended-korean-style-co-ord-set,Aditi Sharma,"Bhopal, India",5,Got so many compliments,"Bahut sundar hai, loved it. The fabric falls beautifully and feels premium. Delivery was quick too.",IN,6/5/2026,yes,no,yes
yellow-embroidered-georgette-kurta-bottom-dupatta-set,Rishabh Iyer,"Mysuru, India",4,Happy with it,"Nice pick overall. Good set overall, the bottom was a little long. Would buy again.",IN,5/1/2026,yes,no,yes
pink-embroidered-viscose-blended-sleeveless-straight-long-kurta,Nidhi Gupta,"Noida, India",5,Gorgeous!,Loved it the moment I opened the parcel. The embroidery is delicate and looks really premium. Delivery was quick too.,IN,6/16/2026,yes,no,yes
maroon-printed-embroidered-cotton-blended-midi-dress,Rhea Patel,"Visakhapatnam, India",5,Absolutely love it,Genuinely impressed. The dress flows beautifully and is so comfortable. Lovely Lady never disappoints.,IN,3/2/2026,yes,no,yes
light-grey-embroidered-viscose-blended-co-ord-set,Siddharth Pandey,"Lucknow, India",5,Highly recommend,Even prettier than the photos. Top and pants both fit perfectly and the set looks so trendy. Lovely Lady never disappoints.,IN,5/2/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Ananya Sinha,"Pune, India",4,Looks great,"Liked it a lot. Lovely set; dupatta is pretty, kurta fit slightly loose. Would buy again.",IN,5/23/2026,yes,no,yes
green-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set-3,Swati Singh,"Hyderabad, India",5,Premium quality,"Loved it the moment I opened the parcel. Complete set, perfect for functions and got so many compliments. Highly recommend to everyone!",IN,6/16/2026,yes,no,yes
maroon-printed-silk-blended-midi-dress,Trisha Patel,"Delhi, India",5,Absolutely love it,Obsessed with this! The dress flows beautifully and is so comfortable. Repeat customer for sure.,IN,6/7/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set-3,Charvi Reddy,"Pune, India",5,Best purchase,Such a beautiful piece. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,1/23/2026,yes,no,yes
yellow-embroidered-cotton-co-ord-set,Lavanya Pillai,"Bhopal, India",5,Premium quality,Such a beautiful piece. Top and pants both fit perfectly and the set looks so trendy. Adding more to my cart soon.,IN,5/17/2026,yes,no,yes
green-printed-crepe-silk-co-ord-set,Aarohi Kulkarni,"Nashik, India",4,Happy with it,Liked it a lot. Trendy co-ord; colour slightly different from the photo. Recommend it.,IN,4/12/2026,yes,no,yes
navy-blue-embroidered-viscose-silk-blended-co-ord-set,Siddharth Pillai,"Kolkata, India",5,Fabric is lovely,"Bahut sundar hai, loved it. Such a comfy co-ord, perfect for brunch and travel. Lovely Lady never disappoints.",IN,3/1/2026,yes,no,yes
off-white-embroidered-viscose-blended-straight-cut-long-kurta,Khushi Banerjee,"Pune, India",4,Runs slightly small,Liked it a lot. Fit is good and the fabric is comfortable. Good value for money.,IN,3/8/2026,yes,no,yes
wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Arjun Rao,"Indore, India",5,Exceeded expectations,"Bahut sundar hai, loved it. The dupatta is gorgeous and the whole set feels festive and premium. Lovely Lady never disappoints.",IN,2/4/2026,yes,no,yes
purple-printed-viscose-blended-midi-dress-2,Mahika Goel,"Bengaluru, India",4,Runs slightly small,Really pretty piece. Pretty dress and comfortable fabric. Would buy again.,IN,5/25/2026,no,no,yes
sea-green-printed-crepe-silk-co-ord-set,Shruti Joshi,"Noida, India",5,Beautiful piece,"Even prettier than the photos. Such a comfy co-ord, perfect for brunch and travel. Repeat customer for sure.",IN,1/11/2026,yes,no,yes
