product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
wine-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Anjali Khanna,"Nagpur, India",5,Stunning in person,Worth every single rupee. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.,IN,5/17/2026,yes,no,yes
navy-blue-embroidered-viscose-silk-blended-co-ord-set,Nisha Jain,"Raipur, India",5,Repeat buyer,Absolutely in love with this! Top and pants both fit perfectly and the set looks so trendy. Highly recommend to everyone!,IN,4/5/2026,yes,no,yes
red-printed-viscose-blended-midi-dress,Nisha Joshi,"Bhubaneswar, India",5,Best purchase,Even prettier than the photos. Perfect length and the print is vibrant. Repeat customer for sure.,IN,2/15/2026,yes,no,yes
pista-embroidered-silk-blended-kurta-bottom-dupatta-set,Tara Reddy,"Mumbai, India",5,Gorgeous!,"Bahut sundar hai, loved it. The colour and the work look so elegant in person. Repeat customer for sure.",IN,1/25/2026,yes,no,yes
navy-embroidered-viscose-blended-co-ord-set,Diya Bose,"Vadodara, India",5,Bahut sundar,Genuinely impressed. Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,2/16/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-3,Lavanya Mishra,"Nashik, India",5,Worth every rupee,"Loved it the moment I opened the parcel. Complete set, perfect for functions and got so many compliments. Adding more to my cart soon.",IN,4/17/2026,yes,no,yes
yellow-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Tanvi Bajaj,"Mysuru, India",5,So elegant,This is now my favourite. The embroidery is delicate and looks really premium. Lovely Lady never disappoints.,IN,3/10/2026,yes,no,yes
yellow-embroidered-silk-blended-3-4-sleeves-straight-cut-long-kurta,Tanvi Rao,"Coimbatore, India",5,Exceeded expectations,Absolutely in love with this! The embroidery is delicate and looks really premium. Will definitely order again.,IN,6/1/2026,yes,yes,yes
pink-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Riya Kapoor,"Patna, India",5,Absolutely love it,Even prettier than the photos. Embroidery is rich and the fit of all three pieces is spot on. Will definitely order again.,IN,6/14/2026,no,no,yes
golden-coloured-embroidered-viscose-silk-blended-co-ord-set,Aarohi Bajaj,"Hyderabad, India",5,Bahut sundar,So so happy with this one. The fabric falls beautifully and feels premium. Will definitely order again.,IN,6/12/2026,no,no,yes
blue-printed-embroidered-cotton-blended-midi-dress,Priya Naidu,"Mysuru, India",5,So elegant,Genuinely impressed. Perfect length and the print is vibrant. Highly recommend to everyone!,IN,4/3/2026,yes,no,yes
navy-printed-viscose-blended-midi-dress,Sneha Rao,"Patna, India",5,Exceeded expectations,Obsessed with this! Perfect length and the print is vibrant. Delivery was quick too.,IN,3/27/2026,yes,no,yes
yellow-embroidered-georgette-kurta-bottom-dupatta-set,Diya Trivedi,"Chandigarh, India",5,Absolutely love it,Loved it the moment I opened the parcel. The dupatta is gorgeous and the whole set feels festive and premium. Will definitely order again.,IN,3/15/2026,yes,no,yes
pista-embroidered-viscose-blended-co-ord-set,Priya Banerjee,"Lucknow, India",5,Premium quality,"Genuinely impressed. Such a comfy co-ord, perfect for brunch and travel. Highly recommend to everyone!",IN,6/18/2026,yes,no,yes
multi-colour-printed-embroidered-silk-blended-3-4-sleeves-kurta-bottom-dupatta-set,Bhavya Mehta,"Coimbatore, India",5,Best purchase,Obsessed with this! The colour and the work look so elegant in person. Highly recommend to everyone!,IN,1/31/2026,yes,no,yes
