product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
yellow-embroidered-georgette-kurta-bottom-dupatta-set,Riya Trivedi,"Chennai, India",5,Worth every rupee,"Bahut sundar hai, loved it. The dupatta is gorgeous and the whole set feels festive and premium. Highly recommend to everyone!",IN,3/15/2026,yes,no,yes
pista-embroidered-viscose-blended-co-ord-set,Vaishnavi Verma,"Chandigarh, India",5,Worth every rupee,Such a beautiful piece. The colour is gorgeous in person and the fit is spot on. Lovely Lady never disappoints.,IN,6/18/2026,yes,no,yes
teal-printed-silk-blended-midi-dress,Meera Trivedi,"Kolkata, India",5,Premium quality,"Even prettier than the photos. Flattering fit, great for brunch and dinners. Lovely Lady never disappoints.",IN,2/4/2026,yes,no,yes
sea-green-solid-cotton-satin-co-ord-set,Mahika Khanna,"Chennai, India",5,Beautiful piece,"Bahut sundar hai, loved it. The fabric falls beautifully and feels premium. Highly recommend to everyone!",IN,2/8/2026,yes,no,yes
white-and-green-printed-linen-blended-midi-dress,Rhea Gupta,"Thane, India",5,Best purchase,"Even prettier than the photos. Lovely fabric, twirls so well and feels premium. Highly recommend to everyone!",IN,4/11/2026,yes,no,yes
white-printed-chanderi-kurta-bottom-dupatta-set,Simran Dubey,"Raipur, India",5,So elegant,So so happy with this one. Embroidery is rich and the fit of all three pieces is spot on. Lovely Lady never disappoints.,IN,4/9/2026,yes,no,yes
white-embroidered-viscose-silk-blended-co-ord-set,Riya Bhat,"Coimbatore, India",4,Pretty and comfy,"Liked it a lot. Nice set, the pants were slightly loose but manageable. Good value for money.",IN,2/23/2026,yes,no,yes
blue-embroidered-viscose-blended-co-ord-set,Anjali Chopra,"Bhopal, India",5,So elegant,"Bahut sundar hai, loved it. Such a comfy co-ord, perfect for brunch and travel. Adding more to my cart soon.",IN,2/3/2026,yes,no,yes
maroon-printed-silk-blended-midi-dress,Anjali Chawla,"Mysuru, India",5,So elegant,"Obsessed with this! Lovely fabric, twirls so well and feels premium. Highly recommend to everyone!",IN,4/28/2026,yes,no,yes
white-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set-2,Sneha Bhat,"Mysuru, India",5,So elegant,"Bahut sundar hai, loved it. The colour and the work look so elegant in person. Will definitely order again.",IN,3/7/2026,yes,yes,yes
light-grey-embroidered-viscose-blended-co-ord-set,Riya Iyer,"Lucknow, India",5,Beautiful piece,"Worth every single rupee. Such a comfy co-ord, perfect for brunch and travel. Repeat customer for sure.",IN,5/28/2026,yes,no,yes
white-solid-cotton-satin-co-ord-set,Aishwarya Dubey,"Patna, India",5,So elegant,"Such a beautiful piece. Such a comfy co-ord, perfect for brunch and travel. Highly recommend to everyone!",IN,4/25/2026,yes,yes,yes
